CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2021-08-08 15:48:28.8773574,C:\Users\swan4\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\DeviceSearchCache\AppCache132729026823225099.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Users\swan4\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\DeviceSearchCache\AppCache132729026823225099.txt,231739,766AC2CCE8406BD431BF549ECADECBBFD6A80E8C,False,2021-08-08 13:24:42.8462993,2021-08-08 13:24:42.8478703,2021-08-08 13:24:42.8478703,00:00:00.0274802
2021-08-08 15:48:28.9593289,C:\Windows\appcompat\Programs\Install\INSTALL_0000_5f0aa071-6606-4837-8532-21759100e9ae.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_0000_5f0aa071-6606-4837-8532-21759100e9ae.txt,2952,D1F22949125BC9037C6CDD7B8C74D929A5136952,False,2021-07-22 07:47:03.9366404,2021-07-22 07:47:03.9376179,2021-07-22 07:47:03.9376179,00:00:00.0015856
2021-08-08 15:48:28.9743065,C:\Windows\appcompat\Programs\Install\INSTALL_0000_7bb72934-3063-47bf-baea-33aff5bd5b47.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_0000_7bb72934-3063-47bf-baea-33aff5bd5b47.txt,9816,4F7259D58A89A88C2A99A7F6CE2953AD392B3BC1,False,2021-07-20 18:27:53.7196034,2021-07-20 18:27:53.7196034,2021-07-20 18:27:53.7196034,00:00:00.0042177
2021-08-08 15:48:28.9842212,C:\Windows\appcompat\Programs\Install\INSTALL_0000_a1886cb0-b585-42fc-b021-918b9561a6e5.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_0000_a1886cb0-b585-42fc-b021-918b9561a6e5.txt,1700,6C77A7E12877FEFB375A0ED85C0709806D27D50E,False,2021-07-20 12:41:36.5517888,2021-07-20 12:41:36.5517888,2021-07-20 12:41:36.5517888,00:00:00.0043264
2021-08-08 15:48:28.9996233,C:\Windows\appcompat\Programs\Install\INSTALL_0001_4c0c47aa-657a-4f41-b921-561f8b287e1a.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_0001_4c0c47aa-657a-4f41-b921-561f8b287e1a.txt,145554,0F1D6BA69A77C4DDDA6B6F1E14E992DBD8ECB3D6,False,2021-08-04 10:28:22.5885852,2021-08-04 10:28:22.5896131,2021-08-04 10:28:22.5896131,00:00:00.0048923
2021-08-08 15:48:29.0149053,C:\Windows\appcompat\Programs\Install\INSTALL_0001_8764f638-5719-4151-b109-531b53f5bd4b.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_0001_8764f638-5719-4151-b109-531b53f5bd4b.txt,206522,AF43B65D9E9FB7C33DBA83879D96CCB1D64A9EAF,False,2021-07-10 15:17:29.5806392,2021-07-10 15:17:29.5816392,2021-07-10 15:17:29.5816392,00:00:00.0057203
2021-08-08 15:48:29.0276271,C:\Windows\appcompat\Programs\Install\INSTALL_0003_78011a71-61bc-474e-8908-a660f3b24892.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_0003_78011a71-61bc-474e-8908-a660f3b24892.txt,53610,F4FE6A623E98C2AABA1FB836E1E6E0E120DE54CD,False,2021-08-07 10:25:03.4689630,2021-08-07 10:25:03.4699597,2021-08-07 10:25:03.4699597,00:00:00.0075712
2021-08-08 15:48:29.0375162,C:\Windows\appcompat\Programs\Install\INSTALL_0005_f6c6074e-2f86-4ce2-864e-4046751cf4f6.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_0005_f6c6074e-2f86-4ce2-864e-4046751cf4f6.txt,15238,21FA7C217405BA1451D50D982D2E05848D3D0604,False,2021-08-08 05:11:02.5198637,2021-08-08 05:11:02.5203639,2021-08-08 05:11:02.5203639,00:00:00.0057363
2021-08-08 15:48:29.0471543,C:\Windows\appcompat\Programs\Install\INSTALL_0009_7060b329-0b9a-4737-9841-5560620d930f.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_0009_7060b329-0b9a-4737-9841-5560620d930f.txt,3928,A4B6160592D1F834352CC52FBFF2BCB36EE5AA42,False,2021-08-08 04:36:56.8433024,2021-08-08 04:36:56.8442958,2021-08-08 04:36:56.8442958,00:00:00.0043745
2021-08-08 15:48:29.0553488,C:\Windows\appcompat\Programs\Install\INSTALL_0013_7060b329-0b9a-4737-9841-5560620d930f.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_0013_7060b329-0b9a-4737-9841-5560620d930f.txt,3338,FE77A74E5320BB38F44D4C6193FB2EEE2221879C,False,2021-08-08 04:42:41.6481722,2021-08-08 04:42:41.6486690,2021-08-08 04:42:41.6486690,00:00:00.0027978
